review_id	decision	applicability	candidate_policy	reviewer	reviewed_at	source_ids	note
PA-6C-001	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；派生首音记为ɹ，不记为拼音声母z[ts]
PA-6C-002	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；派生首音记为ɹ
PA-6C-003	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；派生首音记为ɹ
PA-6C-004	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；派生首音记为ɹ
PA-6C-005	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；派生首音记为ɹ
PA-6C-006	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-007	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-008	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；只核准末尾语气词条件读法
PA-6C-009	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-010	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-011	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；N26与N12共键，只核准语义实现，不生成重复物理别名
PA-6C-012	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；N26与N12共键，只核准语义实现，不生成重复物理别名
PA-6C-013	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；N26与N12共键，只核准语义实现，不生成重复物理别名
PA-6C-014	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；N26与N12共键，只核准语义实现，不生成重复物理别名
PA-6C-015	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；N26与N12共键，只核准语义实现，不生成重复物理别名
PA-6C-016	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-017	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-018	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-019	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-020	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-021	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-022	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；ao按末尾音素u处理
PA-6C-023	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；ao按末尾音素u处理
PA-6C-024	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；iao按末尾音素u处理
PA-6C-025	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；ao按末尾音素u处理
PA-6C-026	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-027	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；只核准末尾语气词条件读法
PA-6C-028	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-029	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
PA-6C-030	approved	句末通常语境；无特殊强调、引述或韵律阻断	parallel_alias_keep_canonical	project_owner	2026-08-17	PA-SRC-RULE-SPEC,PA-SRC-CORE-LEXICON,PA-SRC-STAGE6B	句末读法合乎音理；保留规范读音输入路径
